LEI_Code,Period,CET1_capital,RWA,total_assets,Name,Country,CET1_ratio
M6AD1Y1KW32H8THQ6F76,2024-12-01,4935.617174,34098.476137524,80044.103051,Piraeus Financial Holdings,GR,14.474597498415925
M6AD1Y1KW32H8THQ6F76,2025-03-01,5086.417916,35806.9710935089,78820.243425,Piraeus Financial Holdings,GR,14.20510520903028
M6AD1Y1KW32H8THQ6F76,2025-06-01,5124.955764,36118.554226202,81249.260154,Piraeus Financial Holdings,GR,14.189260544327464
MAES062Z21O4RZ2U7M96,2024-09-01,21419.5226774704,112109.341110847,431925.261748454,Danske Bank A/S,DK,19.10592147383335
MAES062Z21O4RZ2U7M96,2024-12-01,19471.770616478,109242.104535857,425547.216514122,Danske Bank A/S,DK,17.824419164395263
MAES062Z21O4RZ2U7M96,2025-03-01,19884.7773932692,107853.283378668,433756.096708647,Danske Bank A/S,DK,18.436877181990507
MAES062Z21O4RZ2U7M96,2025-06-01,20171.7782022785,108030.950882405,429188.905804365,Danske Bank A/S,DK,18.672221282432382
MMYX0N4ZEZ13Z4XCG897,2024-09-01,4073.58423619412,5118.77021706207,,THE BANK OF NEW YORK MELLON,BE,79.581306904848
MMYX0N4ZEZ13Z4XCG897,2024-12-01,4460.11390938557,5810.31077226042,,THE BANK OF NEW YORK MELLON,BE,76.76205428940293
MMYX0N4ZEZ13Z4XCG897,2025-03-01,4496.67028484043,5825.47175549393,,THE BANK OF NEW YORK MELLON,BE,77.18980493896784
MMYX0N4ZEZ13Z4XCG897,2025-06-01,4543.48054084996,6104.8233629893,,THE BANK OF NEW YORK MELLON,BE,74.42443901644992
N1FBEDJ5J41VKZLO2475,2024-09-01,16616.3981735108,70604.8770087509,157807.09079051,Citibank Europe plc,IE,23.534349010269263
N1FBEDJ5J41VKZLO2475,2024-12-01,16518.5357524339,81084.0807555221,171934.66258129,Citibank Europe plc,IE,20.372107075172007
N1FBEDJ5J41VKZLO2475,2025-03-01,15778.7786920191,79253.1238554524,200138.4841509,Citibank Europe plc,IE,19.909346060349094
N1FBEDJ5J41VKZLO2475,2025-06-01,14449.6451132967,78461.7839867375,199586.47853389,Citibank Europe plc,IE,18.41615673145941
N747OI7JINV7RUUH6190,2024-09-01,8400.601555,53240.963289,139935.500828,BPER Banca S.p.A.,IT,15.778455227040622
N747OI7JINV7RUUH6190,2024-12-01,8578.930149,54227.812192,140591.432408,BPER Banca S.p.A.,IT,15.820166446371248
N747OI7JINV7RUUH6190,2025-03-01,8835.377158,55870.763373,141956.502092,BPER Banca S.p.A.,IT,15.81395460630088
N747OI7JINV7RUUH6190,2025-06-01,9017.502358,55597.209228,144528.170147,BPER Banca S.p.A.,IT,16.21934353039178
NHBDILHZTYCNBV5UYZ31,2024-09-01,14020.6032860176,74538.0291652212,306353.322144859,Svenska Handelsbanken - gruppen,SE,18.81000000005298
NHBDILHZTYCNBV5UYZ31,2024-12-01,13556.5690054105,72035.687431713,283897.835416269,Svenska Handelsbanken - gruppen,SE,18.819240141577872
NHBDILHZTYCNBV5UYZ31,2025-03-01,13653.4480508332,74405.7114451341,316038.680195177,Svenska Handelsbanken - gruppen,SE,18.350000000875056
NHBDILHZTYCNBV5UYZ31,2025-06-01,13315.6554348934,72525.3563947992,302582.926015733,Svenska Handelsbanken - gruppen,SE,18.360000001114464
NNVPP80YIZGEY2314M97,2024-09-01,15194.232611,64227.432911,164645.495591,ICCREA BANCA S.P.A.,IT,23.65692029456425
NNVPP80YIZGEY2314M97,2024-12-01,15480.553731,66380.298979,164611.913285999,ICCREA BANCA S.P.A.,IT,23.32100633637913
NNVPP80YIZGEY2314M97,2025-03-01,16019.559967,64332.225793,163537.967441,ICCREA BANCA S.P.A.,IT,24.901299107146844
NNVPP80YIZGEY2314M97,2025-06-01,16458.339199,65026.686225,165725.373689,ICCREA BANCA S.P.A.,IT,25.310130585544844
O2RNE8IBXP4R0TD8PU41,2024-09-01,50874.74453641,392339.25074991,1410483.10060075,Société générale S.A.,FR,12.967029028874617
O2RNE8IBXP4R0TD8PU41,2024-12-01,51763.91048107,389503.28591862,1407366.99197828,Société générale S.A.,FR,13.289723694881788
O2RNE8IBXP4R0TD8PU41,2025-03-01,51890.08236811,393071.78595763,1385725.89948874,Société générale S.A.,FR,13.201171954301326
O2RNE8IBXP4R0TD8PU41,2025-06-01,52535.84499338,388029.41100513,1380480.01686054,Société générale S.A.,FR,13.539139947483376
P4GTT6GF1W40CVIMFR43,2024-09-01,10324.7709561091,57430.3110161727,117687.980143731,Powszechna Kasa Oszczednosci Bank Polski S.A.,PL,17.97791231393747
P4GTT6GF1W40CVIMFR43,2024-12-01,10547.1516502923,59129.1804984795,122193.597327017,Powszechna Kasa Oszczednosci Bank Polski S.A.,PL,17.83747307399858
P4GTT6GF1W40CVIMFR43,2025-03-01,10380.8329115678,64359.0819443116,126364.739903202,Powszechna Kasa Oszczednosci Bank Polski S.A.,PL,16.129554055090612
P4GTT6GF1W40CVIMFR43,2025-06-01,10776.1776548098,64197.0831659713,128385.317776206,Powszechna Kasa Oszczednosci Bank Polski S.A.,PL,16.786086101372728
PSNL19R2RXX5U3QWHI44,2024-09-01,7181.600171,47242.034904,98038.622064,Mediobanca - Banca di Credito Finanziario S.p.A.,IT,15.201716406995693
PSNL19R2RXX5U3QWHI44,2024-12-01,6982.000475,47315.05617,99793.704127,Mediobanca - Banca di Credito Finanziario S.p.A.,IT,14.756403225886732
PSNL19R2RXX5U3QWHI44,2025-03-01,6811.361175,45994.454508,100653.541459,Mediobanca - Banca di Credito Finanziario S.p.A.,IT,14.809092200050491
PSNL19R2RXX5U3QWHI44,2025-06-01,6937.160918,46091.580453,103838.14001,Mediobanca - Banca di Credito Finanziario S.p.A.,IT,15.050820236190173
R0MUWSFPU8MPRO8K5P83,2024-09-01,95200.300049,759444.985890071,2492530.245818,BNP Paribas,FR,12.535509723252048
R0MUWSFPU8MPRO8K5P83,2024-12-01,98128.165145,762246.99458475,2432822.788029,BNP Paribas,FR,12.873539133920413
R0MUWSFPU8MPRO8K5P83,2025-03-01,97129.429402,783440.3610502,2524032.905539,BNP Paribas,FR,12.397807699337601
R0MUWSFPU8MPRO8K5P83,2025-06-01,98280.564429,788849.55543735,2573933.922967,BNP Paribas,FR,12.458720899514459
R7CQUF1DQM73HUTV1078,2024-09-01,5120.77833584,22063.37540244,,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",LU,23.20940582497495
R7CQUF1DQM73HUTV1078,2024-12-01,5366.99122849,23381.63669586,,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",LU,22.95387315397083
R7CQUF1DQM73HUTV1078,2025-03-01,5687.61926174,20887.12269895,,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",LU,27.230266914771935
R7CQUF1DQM73HUTV1078,2025-06-01,5791.1056797,21140.94085858,,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",LU,27.392847453852525
SI5RG2M0WQQLZCXKRM20,2024-09-01,10802.3193,79839.31763,245507.155,"Banco de Sabadell, S.A.",ES,13.530074680824896
SI5RG2M0WQQLZCXKRM20,2024-12-01,10485.79551,80484.73842,239601.511,"Banco de Sabadell, S.A.",ES,13.028302900459373
SI5RG2M0WQQLZCXKRM20,2025-03-01,10385.00032,79523.825365,249188.288,"Banco de Sabadell, S.A.",ES,13.05897983696675
SI5RG2M0WQQLZCXKRM20,2025-06-01,10348.4152399999,79239.029961,252376.61,"Banco de Sabadell, S.A.",ES,13.059744983114005
TO822O0VT80V06K0FH57,2024-09-01,9171.75505408,44987.17351427,104072.440464,"Caixa Geral de Depósitos, S.A.",PT,20.387489005439974
TO822O0VT80V06K0FH57,2024-12-01,9655.48720741,47660.84004896,106194.781721,"Caixa Geral de Depósitos, S.A.",PT,20.25874323132223
TO822O0VT80V06K0FH57,2025-03-01,9781.35976331,47164.6192542399,107229.750686,"Caixa Geral de Depósitos, S.A.",PT,20.738765451669998
TO822O0VT80V06K0FH57,2025-06-01,9916.02441399,47437.48327196,106244.312257,"Caixa Geral de Depósitos, S.A.",PT,20.90335264445047
TUKDD90GPC79G1KOE162,2024-09-01,3274.19283978,18495.90794369,32133.97590404,Hamburg Commercial Bank AG,DE,17.702255275859613
TUKDD90GPC79G1KOE162,2024-12-01,3152.11537472,18213.31373613,33616.49076823,Hamburg Commercial Bank AG,DE,17.30665501284978
TUKDD90GPC79G1KOE162,2025-03-01,3184.32006158,15817.20743037,31765.57565868,Hamburg Commercial Bank AG,DE,20.131999125622592
TUKDD90GPC79G1KOE162,2025-06-01,3264.5990581,14739.32875275,30786.43044431,Hamburg Commercial Bank AG,DE,22.14889913145404
VDYMYTQGZZ6DU0912C88,2024-09-01,12640.99599489,67599.68857034,281178.47485238,Bayerische Landesbank,DE,18.699784366220225
VDYMYTQGZZ6DU0912C88,2024-12-01,13089.48726535,69961.83299155,267538.046224649,Bayerische Landesbank,DE,18.70946872837215
VDYMYTQGZZ6DU0912C88,2025-03-01,13076.36880917,62226.63531347,286561.97053827,Bayerische Landesbank,DE,21.014102310525217
VDYMYTQGZZ6DU0912C88,2025-06-01,12991.21096701,63504.29128668,282416.56597908,Bayerische Landesbank,DE,20.457217463247087
VWMYAEQSTOPNV0SUGU82,2024-09-01,5132.334525,40857.456534,118386.853168,"Bankinter, S.A.",ES,12.561561488119235
VWMYAEQSTOPNV0SUGU82,2024-12-01,5272.237013,42475.607625,122010.796038,"Bankinter, S.A.",ES,12.412387503779707
VWMYAEQSTOPNV0SUGU82,2025-03-01,5367.588249,43459.936709,123891.783858,"Bankinter, S.A.",ES,12.350658227922455
VWMYAEQSTOPNV0SUGU82,2025-06-01,5528.295016,43965.31478,131772.988097,"Bankinter, S.A.",ES,12.57421911719109
